"","MonthYr","impressions_sum"
"1","2016:03",0
"2","2016:04",0
"3","2016:06",2067
"4","2016:07",3846
"5","2016:08",3807
"6","2016:09",2375
"7","2016:10",384
"8","2016:11",1522
"9","2016:12",3260
"10","2017:01",0
"11","2017:02",385
"12","2017:03",3821
"13","2017:04",1897
"14","2017:05",3112
"15","2017:06",6813
"16","2017:08",8003
"17","2017:11",2529
"18","2018:01",5839
"19","2018:02",0
"20","2018:03",28738
"21","2018:04",0
"22","2018:05",5289
"23","2018:06",22402
"24","2018:07",4604
"25","2018:08",21235
"26","2018:09",9769
"27","2018:10",2523
"28","2018:11",9501
"29","2018:12",10364
"30","2019:01",9009
"31","2019:02",0
"32","2019:03",1515
"33","2019:04",5222
"34","2019:05",6558
"35","2019:07",0
"36","2019:08",8196
"37","2019:09",0
"38","2019:10",5788
"39","2019:11",757
"40","2019:12",12035
"41","2020:01",0
"42","2020:02",4758
"43","2020:03",13904
"44","2020:04",19247
"45","2020:05",28259
"46","2020:06",14223
"47","2020:07",16143
"48","2020:08",15745
"49","2020:09",11923
"50","2020:10",21066
"51","2020:11",25545
"52","2020:12",43173
"53","2021:01",28408
